"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-03-31,209,"Knox County","IN","Vincennes",1084,84500,-0.00471142520612485,-0.0174418604651163,0.0988296488946684,0.0737594535280708,0.0362236503419862,"2018-11","2018-Q4",86300,-0.0208574739281576,"2018-09"
2019-03-31,455,"Cooke County","TX","Gainesville",1085,145600,0.00206469373709566,0.0160502442428472,0.0988679245283019,0.0691994611297904,0.0379729701424714,"2019-03","2019-Q1",145600,0,"2019-03"
2019-03-31,1680,"Douglas County","WA","Wenatchee",1086,335200,0.000597014925373134,0.00994275384151853,0.0648030495552732,0.0775843690637521,0.0374844651841797,"2019-03","2019-Q1",335200,0,"2019-03"
2019-03-31,1704,"Fayette County","TN","Memphis",1087,210000,0.00286532951289398,0.00913022585295531,0.0736196319018405,0.0601678923171742,0.0282756218301907,"2019-03","2019-Q1",210000,0,"2019-03"
2019-03-31,153,"Dyer County","TN","Dyersburg",1088,86000,0.00467289719626168,0.0238095238095238,0.155913978494624,0.0441263196887947,0.0194952850672363,"2019-03","2019-Q1",86000,0,"2019-03"
2019-03-31,2972,"Montgomery County","IN","Crawfordsville",1089,121600,-0.000821692686935086,0.00829187396351575,0.105454545454545,0.0501693170964874,0.0220201821111765,"2019-02","2019-Q1",121700,-0.000821692686935086,"2019-02"
2019-03-31,409,"Brown County","TX","Brownwood",1090,89600,0.00111731843575419,0.0216647662485747,0.0591016548463357,0.0557897981425968,0.029492816764257,"2019-03","2019-Q1",89600,0,"2019-03"
2019-03-31,829,"Amador County","CA",,1091,306800,-0.00936390054891831,-0.0157202438241899,0.0226666666666667,0.0814571608258072,0.0271070880048838,"2005-12","2005-Q4",364600,-0.158529895776193,"2004-12"
2019-03-31,2164,"Caldwell County","TX","Austin-Round Rock",1092,152200,0,0.00861497680583168,0.094176851186197,0.0758460925347015,0.0422734310829427,"2019-03","2019-Q1",152200,0,"2019-03"
2019-03-31,2077,"Webster County","IA","Fort Dodge",1093,85000,-0.00234741784037559,-0.00584795321637427,0.022864019253911,0.0354857884559052,0.012730082943976,"2019-01","2019-Q1",85600,-0.00700934579439252,"2018-11"
